"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population ages 65 and above, male","SP.POP.65UP.MA.IN","540","580","624","656","696","742","788","842","896","965","1038","1145","1260","1374","1485","1585","1642","1687","1722","1764","1803","1843","1888","1932","1965","1977","1980","1968","1962","1976","2019","2040","2109","2211","2332","2452","2575","2678","2772","2874","2984","3120","3269","3426","3579","3723","3878","4019","4149","4292","4461","4619","4796","4994","5202","5409","5639","5863","",
"Afghanistan","AFG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","136008","138570","140310","141239","141420","140878","143843","146203","147882","148784","148857","152209","154850","156696","157702","157828","161037","162901","162945","160687","155972","154940","150975","144526","136233","126395","126049","125921","126344","127561","129333","138674","151326","165963","180875","195126","202716","207049","209657","212488","216641","223636","232583","242695","252886","262496","274597","285037","294569","304373","315347","328623","343487","359412","375427","390916","409734","427223","",
"Angola","AGO","Population ages 65 and above, male","SP.POP.65UP.MA.IN","61920","63990","65554","66682","67520","68122","69929","71546","72980","74200","75182","77680","80090","82358","84458","86358","89332","92174","94923","97624","100290","103909","107600","111209","114541","117511","121142","124116","126652","128990","131267","135007","138837","142606","146133","149325","154032","158318","162328","166204","170025","176209","182518","188841","195027","200988","208367","215827","223202","230199","236795","244489","251847","259789","269620","282069","297690","315339","",
"Albania","ALB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","39146","40248","41656","43226","44776","46170","47108","47966","48946","50079","51241","52411","53674","54930","56238","57641","59314","61054","62761","64416","66108","67842","69617","71327","72875","74209","75606","76819","77913","79920","81730","83466","85398","87506","89740","92128","94142","96438","98994","101704","104434","107970","112142","116237","120359","124541","130115","135538","140913","146285","151716","156389","160973","165357","169794","174389","177916","182088","",
"Andorra","AND","Population ages 65 and above, male","SP.POP.65UP.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1497392","1551563","1603630","1653770","1702035","1748459","1806574","1862540","1916663","1969330","2020989","2086429","2150249","2212485","2272992","2332418","2406147","2478925","2551000","2622637","2694125","2778007","2859209","2938948","3019049","3101460","3203064","3307174","3415528","3530116","3670723","3825780","3970824","4136728","4304335","4484514","4649871","4808154","4960820","5110508","5259155","5413680","5566212","5717104","5865553","6013191","6168084","6319724","6473374","6634864","6809458","7019994","7234872","7460511","7708766","7988780","8321272","8686466","",
"United Arab Emirates","ARE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1457","1446","1494","1552","1573","1540","1479","1409","1382","1443","1614","1655","1979","2628","3584","4835","5549","6437","7436","8341","8971","9341","9318","9129","9062","9234","9471","9975","10690","11473","12215","12775","13312","13810","14293","14769","15658","16884","18316","19691","20825","20909","21013","21609","23223","26133","27927","31099","35067","39124","42719","49143","54852","59411","62591","64432","68954","73292","",
"Argentina","ARG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","563827","586108","607286","627698","647818","667975","693046","717317","740794","763506","785560","812203","837659","861440","882812","901323","927474","950040","969868","988320","1006518","1026922","1048036","1069363","1089891","1109217","1138843","1164745","1188181","1210991","1233958","1264913","1295404","1324495","1350540","1372893","1402918","1429423","1452666","1473037","1490969","1516240","1537649","1556410","1574053","1591614","1615955","1639917","1664090","1688937","1715008","1752934","1790758","1828634","1866828","1905524","1952823","1999564","",
"Armenia","ARM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","52093","51977","51795","51630","51572","51700","52488","53457","54560","55709","56854","58904","60649","62173","63615","65057","66875","68711","70259","71069","70964","70628","69600","68302","67301","66963","66962","67298","68239","70157","73192","79541","86676","93927","100549","106358","110581","113815","116729","120168","124466","129757","135887","141713","145494","146325","145030","141205","136109","131483","128385","126297","125565","125740","126191","126585","128655","130651","",
"American Samoa","ASM","Population ages 65 and above, male","SP.POP.65UP.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","639","639","646","652","670","692","719","752","783","813","837","894","940","980","1031","1090","1164","1245","1322","1387","1428","1495","1542","1565","1574","1577","1647","1718","1792","1893","2034","2072","2135","2202","2256","2279","2297","2287","2263","2242","2219","2264","2330","2422","2529","2649","2670","2687","2690","2682","2665","2680","2686","2700","2729","2789","2899","3032","",
"Australia","AUS","Population ages 65 and above, male","SP.POP.65UP.MA.IN","380089","386486","394067","399196","404148","408870","415058","416893","420963","426683","432090","452704","466089","478231","496291","509280","524678","542211","560493","577119","592387","612404","630068","644021","658662","677657","700862","725593","752620","780218","805722","834228","861237","884927","907837","930733","955829","978149","999113","1021254","1045091","1072797","1099935","1128241","1156642","1187857","1216581","1235051","1272957","1317521","1362906","1416302","1481181","1548915","1612524","1672616","1732146","1791205","",
"Austria","AUT","Population ages 65 and above, male","SP.POP.65UP.MA.IN","332054","337722","343668","349673","355634","361465","370619","379310","386224","391282","395105","402617","409094","414079","416238","415391","419664","423604","424988","422456","416399","412051","402818","390886","381052","374698","375396","378932","384483","391255","398380","408885","418890","426682","431392","433766","440813","446810","452370","458423","465167","476540","488241","500280","514225","530215","548208","566775","585886","603833","619942","635454","650276","664835","680003","697242","715554","731559","",
